prod_log_id,prod_id,scheme_id,bonus_scheme,bonus_units,fp,tp,entry_date,remarks,type,bonus_status,mrp
415,81,5,100,70,174.55,188.7,14-06-24,New System Launched,1,CLOSED,0
416,81,6,100,70,223.29,241.4,10-09-24,New System Launched,1,ACTIVE,0
417,81,7,100,40,72.34,78.2,14-06-24,New System Launched,1,CLOSED,0
418,81,8,100,50,72.34,78.2,14-06-24,New System Launched,1,CLOSED,0
419,81,9,100,70,227.23,245.65,14-06-24,New System Launched,1,CLOSED,0
420,82,1,100,25,251.6,272,14-06-24,New System Launched,1,CLOSED,0
421,82,2,100,25,278.33,300.9,14-06-24,New System Launched,1,CLOSED,0
422,82,3,100,25,306.17,330.99,14-06-24,New System Launched,1,CLOSED,0
423,82,4,100,25,368.32,398.18,14-06-24,New System Launched,1,CLOSED,0
424,82,5,100,25,463.87,501.5,10-09-24,New System Launched,1,ACTIVE,0
425,82,6,100,25,141.53,153,24-06-24,New System Launched,1,CLOSED,0
426,82,7,100,25,188.7,204,24-06-24,New System Launched,1,CLOSED,0
427,83,1,100,25,306.64,331.5,14-06-24,New System Launched,1,CLOSED,0
428,83,2,100,25,337.3,364.65,14-06-24,New System Launched,1,CLOSED,0
429,83,3,100,25,438.73,474.3,24-06-24,New System Launched,1,CLOSED,0
430,83,4,100,25,621.14,671.5,24-06-24,Prices Changed,3,ACTIVE,0
431,84,1,100,20,27.91,30.17,14-06-24,New System Launched,1,CLOSED,0
432,84,2,100,0,37.19,40.2,14-06-24,New System Launched,1,CLOSED,0
433,84,3,100,20,37.19,40.2,14-06-24,New System Launched,1,CLOSED,0
434,84,4,100,0,44.5,48.11,14-06-24,New System Launched,1,CLOSED,0
435,84,5,100,0,53.9,58.27,14-06-24,New System Launched,1,CLOSED,0
436,84,6,100,20,87.27,94.35,14-06-24,New System Launched,1,ACTIVE,0
437,84,7,100,30,27.92,30.18,14-06-24,New System Launched,1,CLOSED,0
438,84,8,100,50,27.92,30.18,14-06-24,New System Launched,1,CLOSED,0
439,84,9,100,30,23.2,25.08,14-06-24,New System Launched,1,CLOSED,0
440,84,10,100,30,33.58,36.3,14-06-24,New System Launched,1,CLOSED,0
441,84,11,100,30,38.53,41.65,14-06-24,New System Launched,1,CLOSED,0
442,84,12,100,30,33.02,35.7,14-06-24,New System Launched,1,CLOSED,0
443,84,13,100,20,26.73,28.9,14-06-24,New System Launched,1,CLOSED,0
444,85,1,100,30,16.64,17.99,14-06-24,New System Launched,1,CLOSED,0
445,85,2,100,20,60.54,65.45,14-06-24,New System Launched,1,ACTIVE,0
